,favorites,retweets
9351,208,23
5396,1336,202
7897,8,1
8846,271,29
10201,45,4
527,220,15
7515,22,1
5245,2,0
1919,343,118
701,236,14
10307,2963,213
9923,43,8
9421,1022,73
1298,412,49
1352,90,4
2926,434,48
9250,859,119
1287,934,111
8136,24,1
9736,398,18
5743,1289,420
10484,609,74
2013,833,366
6890,125,6
5019,44,7
5508,9503,1177
2147,1052,262
5427,4007,498
9564,399,23
5527,18595,5310
8540,39,8
5641,4345,1029
8459,383,14
7702,338,38
7229,25,5
10152,47,9
810,276,46
6084,310,102
2073,297,79
8290,52,4
8735,78,6
885,301,16
1477,115,8
1790,258,39
10068,23,3
2008,181,31
5537,3358,453
682,3016,83
3895,18,0
4829,7,1
11562,737,301
5837,1123,450
57,2618,487
9404,59,4
2399,4823,1515
11437,89,4
9734,63,13
5960,717,222
11095,81,8
1468,811,114
1416,407,48
6847,47,1
2358,188,4
6735,876,113
6886,4,0
10127,49,6
10071,210,47
11045,119,8
3869,9,1
11845,176,11
5982,482,160
6829,9,0
8710,490,21
9369,199,23
1055,256,37
2281,526,81
4773,24,1
1924,564,171
10732,154,28
1075,181,26
1115,527,94
3936,9,0
3533,182,27
8879,1168,47
460,2233,245
3032,4,1
11872,142,11
1452,117,20
2149,237,58
319,2555,112
4742,14,1
1922,120,96
8270,62,5
11837,84,12
5220,9,0
9601,198,18
4706,13,1
2129,427,99
4466,4,0
5728,187,59
7464,145,31
1052,10160,2342
7741,52,10
8129,65,1
4067,26,1
1456,572,76
5183,752,113
361,4296,483
11728,197,6
3145,21,1
10985,417,197
5584,2446,275
6061,235,83
8289,21,0
4320,2,1
7152,67,9
540,4871,470
10060,52,16
6158,97,18
10723,51,4
754,275,23
8594,106,15
2003,169,47
2542,786,16
6080,343,152
6554,55,4
8589,240,1
100,3414,609
9843,126,5
601,5476,1235
10594,259,21
4436,6,0
7592,53,4
1044,318,21
9222,2069,162
1557,5800,1224
1487,318,49
10920,690,68
6027,618,149
2115,790,130
8379,33,1
618,7826,958
4768,36,12
5333,1232,88
3396,14,1
1600,318,39
8122,85,8
11278,101,9
1615,139,22
1752,317,36
5653,574,109
2083,285,88
7297,14,2
8545,193,3
7023,14,0
6880,40,2
8893,233,13
675,647,58
2545,929,27
9892,61,16
3999,97,6
11884,450,214
8083,747,28
5398,957,151
3609,24,0
9327,9009,726
3787,68,1
2225,435,141
8799,205,17
5703,3421,1110
1126,498,47
11869,110,25
5697,1471,391
2441,432,69
1322,427,55
1603,342,73
4210,12,2
9272,556,118
10229,14,1
4065,19,0
7197,15,1
11107,172,13
8452,1133,110
10733,48,3
4071,10,0
1507,177,17
1559,395,61
9808,330,23
7268,221,9
7847,48,3
9691,276,55
8608,759,26
1836,326,62
1354,166,19
6107,5,0
7452,25,7
10479,505,46
5639,10562,3272
4032,7,1
11002,285,18
5484,20363,1897
8406,269,23
9433,1195,146
2251,246,64
1025,89,12
11265,35,0
9947,23,3
11822,211,33
9963,61,3
3397,2360,265
313,5450,294
7252,14,0
5623,2985,894
7025,282,8
10804,126,12
8341,278,39
5128,19,7
2970,68,8
7185,53,8
6536,695,128
3885,5,0
11414,153,42
9188,623,43
4838,0,0
8522,1884,237
10679,42,1
4872,5,1
8950,1461,146
5761,343,80
9305,968,48
1840,99,22
10793,72,15
10517,222,12
3673,16,0
11308,308,18
10284,1509,68
11859,36,3
3320,72,8
2272,124,27
4254,61,0
847,179,8
8736,126,9
11364,84,13
5611,7464,2232
5577,455,60
4705,27,1
1417,517,60
5050,21,1
3848,1,0
604,7878,1867
9902,321,75
2078,545,95
7233,71,20
2311,369,19
4343,15,0
6131,269,35
1982,125,21
199,5238,979
485,6536,262
3270,112,8
2823,1035,178
3245,39,0
8029,10,0
5228,25,1
3749,25,1
7322,92,14
5271,1369,85
9706,135,10
2794,731,133
5676,15084,6693
8171,40,0
8222,1731,232
524,2021,273
947,118,19
9189,695,67
9432,593,36
1280,445,54
122,3732,846
4366,28,4
11432,630,121
10823,484,98
2302,1452,252
10718,19,3
8952,382,30
1005,88,13
3460,51,1
9271,1896,199
10133,339,34
10671,341,27
3055,20,1
3566,2,0
4463,23,0
2132,105,19
9569,199,19
8313,128,6
4863,80,5
229,852,86
11149,178,16
4001,5,1
10849,137,48
8354,58,4
7689,84,10
3007,5,0
5616,4282,710
4221,30,0
6931,73,3
6453,113,50
4770,13,0
2750,579,63
6193,219,115
8644,1384,424
4376,30,3
2944,3484,712
7475,127,9
2718,5,0
6595,902,183
9755,52,10
8039,298,69
10358,48,1
6820,12,0
4161,75,7
10124,98,5
9162,809,152
10197,239,21
9785,540,63
6112,5,1
10430,829,40
10522,86,9
7405,40,0
1017,211,15
5190,32,5
7110,13,2
1928,602,158
350,2801,620
5931,432,91
11100,71,3
8957,18,2
7388,10,1
11132,767,112
7143,280,33
564,9552,2746
1582,150,14
2175,545,92
6921,519,34
7635,17,1
3933,13,3
2707,1122,214
11738,107,33
5583,4411,552
3535,19,0
8510,132,18
7163,38,0
9261,9,1
3739,26,3
9307,1450,102
821,212,8
2063,541,89
7872,299,73
81,4261,614
7501,88,21
2697,410,62
831,64,4
3826,15,1
6334,269,51
2833,793,61
9228,1651,141
11039,80,5
6213,40,7
48,14330,2036
7301,692,64
4608,34,8
9057,26,2
9100,993,65
5344,456,62
8947,86,2
4095,4,0
2689,905,194
5532,1012,126
4483,49,3
6761,43,3
2373,1141,107
10734,335,28
2758,1207,191
7948,10,0
6535,130,7
5349,2596,205
6165,87,10
3880,8,0
